reservoir_id,month,mean_fill_pct
107,3,31.86
107,4,46.8
107,5,52.49
107,6,47.89
107,7,53.91
107,8,53.09
107,9,51.23
107,10,18.51
191,1,45.05
191,2,44.73
191,3,44.21
191,4,41.87
191,5,38.89
191,6,36.62
191,7,27.71
191,8,33.46
191,9,44.57
191,10,34.07
191,11,43.31
191,12,45.01
303,2,83.35
303,3,100.0
303,4,100.0
303,5,82.68
303,6,99.95
303,7,99.93
303,8,88.4
303,9,99.27
303,10,99.76
303,11,100.0
418,1,90.56
418,2,89.67
418,3,88.76
418,4,90.8
418,8,96.45
418,9,84.5
418,10,86.92
418,11,90.94
418,12,90.68
517,3,30.34
517,4,24.26
517,5,30.09
517,6,15.97
517,7,30.54
517,8,30.25
517,9,29.96
517,10,29.48
620,3,47.68
620,4,75.87
620,5,79.65
620,6,57.24
620,7,85.68
620,8,84.61
620,9,85.71
620,10,63.64
628,3,37.8
628,4,49.82
628,5,61.68
628,6,61.66
628,7,70.04
628,8,67.0
628,9,70.74
628,10,49.38
630,3,11.92
630,4,17.7
630,5,18.38
630,6,11.41
630,7,16.15
630,8,15.17
630,9,15.78
630,10,14.38
639,3,40.47
639,4,52.94
639,5,63.85
639,6,57.98
639,7,61.84
639,8,60.22
639,9,62.96
639,10,59.11
644,3,11.96
644,4,35.17
644,5,34.02
644,6,25.1
644,7,31.78
644,8,31.23
644,9,32.67
644,10,28.01
646,3,44.05
646,4,84.15
646,5,82.41
646,6,76.67
646,7,82.02
646,8,81.56
646,9,80.44
646,10,69.93
657,3,42.09
657,4,58.02
657,5,51.82
657,6,50.34
657,7,48.57
657,8,46.28
657,9,42.12
657,10,52.88
660,3,25.4
660,4,37.4
660,5,39.56
660,6,36.7
660,7,37.65
660,8,38.35
660,9,38.88
660,10,26.07
668,3,17.27
668,4,23.9
668,5,23.03
668,6,21.32
668,7,21.16
668,8,21.42
668,9,21.94
668,10,17.73
674,2,87.9
674,3,71.76
674,4,70.27
674,5,70.72
674,6,70.71
674,7,71.56
674,8,71.55
674,9,69.73
674,10,77.11
1036,1,96.1
1036,2,74.74
1036,3,99.18
1036,4,99.73
1036,5,99.66
1036,6,99.57
1036,7,99.71
1036,8,99.69
1036,9,99.43
1036,10,99.64
1036,11,99.54
1037,1,79.71
1037,2,62.07
1037,3,86.92
1037,4,87.0
1037,5,86.86
1037,6,86.26
1037,7,86.23
1037,8,86.11
1037,9,87.46
1037,10,86.27
1037,11,89.67
1047,1,98.6
1047,2,82.8
1047,3,97.96
1047,4,95.91
1047,5,98.26
1047,6,97.72
1047,7,98.04
1047,8,98.21
1047,9,98.21
