cluster_id,region,n_reservoirs,reservoir_ids,depot_lat,depot_lon,countries,annual_void_m3,annual_void_mm3,annual_revenue_usd,transport_cost_usd,annual_capex_usd,net_annual_value_usd,payback_years,mean_depot_distance_km,fill_correlation,viable,rank
45,S Asia,20,"7667,22260,22291,22302,22308,22310,22317,22369,22373,22397,22404,22407,26052,26053,26076,26079,26081,26086,29241,30776",14.7563,79.9474,India,433212105.0,433.212,216606053.0,12982.0,500000.0,216093071.0,0.0,39.96,0.8321,True,26
63,SE Asia,32,"10464,10471,10496,10503,10538,10539,22883,22958,23049,23054,23056,23058,23059,23060,23064,23070,23082,23083,23084,23086,23087,25689,25700,25701,25717,28417,28418,28420,30681,32614,32615,40267",12.0466,108.9249,Vietnam,433187399.0,433.187,216593699.0,34536.0,500000.0,216059163.0,0.0,106.3,0.1445,True,27
31,SE Asia,20,"5143,10422,10427,10438,10447,10463,10504,22661,22701,22722,22819,22837,22852,22863,22993,25702,25704,28413,40305,40308",13.0129,100.9918,"Thailand,Cambodia",402544617.0,402.545,201272308.0,27508.0,500000.0,200744800.0,0.0,91.11,0.6144,True,28
11,Med / Middle East,20,"1573,4377,4385,4414,4417,6143,6163,6172,6181,9037,16550,27620,28423,31849,31859,31863,32605,32606,32607,37305",37.0525,9.4278,Tunisia,393822802.0,393.823,196911400.0,17845.0,500000.0,196393555.0,0.0,60.42,0.0,True,29
20,Caribbean,13,"3378,3380,3382,5715,5716,5717,8194,12462,12464,12469,12470,12471,12472",18.1323,-66.5215,Puerto Rico,385363820.0,385.364,192681912.0,8316.0,500000.0,192173596.0,0.0,28.77,0.7232,True,30
58,E Asia,20,"8978,8984,8990,8999,9000,9009,16320,16324,16325,16336,16337,16441,16469,16479,16483,16518,16523,16530,16531,36535",37.4164,121.1936,China,342453074.0,342.453,171226537.0,13425.0,500000.0,170713112.0,0.0,52.27,0.0,True,31
22,S America,4,"3453,5735,5736,40633",-12.5596,-38.2076,Brazil,330838007.0,330.838,165419003.0,2280.0,500000.0,164916723.0,0.0,9.19,0.4005,True,32
26,Med / Middle East,11,"4320,4325,4351,4369,6113,6136,8975,8996,16410,16495,16498",37.8981,13.5769,Italy,330729412.0,330.729,165364706.0,14043.0,500000.0,164850663.0,0.0,56.62,0.0,True,33
30,S Asia,28,"5081,10035,10059,21286,21294,21374,21390,21417,21436,21482,21486,21505,21689,21739,21782,21825,21847,21848,21865,21879,22029,22072,22118,22172,22218,26139,26303,29213",18.7117,73.198,India,324550790.0,324.551,162275394.0,15385.0,500000.0,161760009.0,0.0,63.2,0.5156,True,34
46,Equatorial Africa,9,"7681,10616,10627,23225,23233,23238,23240,28171,32316",5.0193,100.6698,"Malaysia,Thailand",298502228.0,298.502,149251115.0,14209.0,500000.0,148736906.0,0.0,63.47,0.2096,True,35
